id,order,gate_a,status,started,completed,needs_gpu,est,title,covers,why,acceptance,files,evidence,notes
V12-01,1,yes,done,2026-09-09,2026-09-10,yes,0.5d,"The seven W0 questions become permanent probe cases, asserting the OUTPUT",V11-1 W4-4 REV-T02 BUG-503,"The gate for every routing change below it. Doing it afterwards would measure the change with an instrument the change already influenced. The review adds a requirement V10 did not have: assert the final output, not only the route (T02).","All seven cases in scripts/regression_cases.json with final-output assertions, plus a bldg3 leg so the probe says something about portability. A first-pass failure is reported as a first-pass failure, never folded into a success total.",scripts/regression_cases.json; scripts/regression_probe.py,"7 W0 cases added to scripts/regression_cases.json as group 'w0', markers derived from a LIVE run on 2026-09-09 rather than copied from docs/V10_LIVE_VERIFICATION.md. First run 6/7 first-pass pass; the failure is BUG-497 (the lift denominator), which is the case doing its job. Portability leg BUILT not yet RUN: cases carry a `building` field, the probe reads building_id from /health (added to orchestrator/main.py) and skips + reports non-applicable cases, and a building-agnostic 'portability' group computes its expectations from whichever graph is live. The bldg3 leg needs a building swap to run. First-pass reporting is explicit in both stdout and the written report. Found BUG-497, BUG-498, BUG-499 while writing the cases. BASELINE 2026-09-09: full probe 57/59 FIRST-PASS, 59 cases, 64.7 min, local/gpt-oss:20b, building bldg1. The two failures are BUG-497 (the lift denominator, the case working) and a latency timeout on the timetable case which passed on three subsequent re-asks -- recorded as a first-pass failure that recovered, NOT folded into the total (CAVEAT-500). CORRECTION 2026-09-10: the lift case's second forbid marker ('of 1 lift') was written on a misreading and has been removed - the lane queries ontosage:Lift and the count is right for what it asks (see BUG-497, now P3). The 57/59 baseline therefore contains ONE case that was failing for a wrong reason. It is not re-scored here: the next full run measures it, and the baseline stands as recorded until then rather than being adjusted on paper.",
V12-02,2,yes,done,2026-09-10,2026-09-10,yes,0.5d,Re-ask the seven fixes whose own rows admit live verification is owed,,"BUG-157, BUG-183, BUG-257, BUG-445, BUG-474, BUG-487 and TODO-490 are marked FIXED or VERIFIED_LIVE with offline tests and a WRITTEN admission that the live re-ask never happened - mostly because the GPU was committed elsewhere. A source fix is not a deployed fix.","Each of the seven is asked live and its row moves to VERIFIED_LIVE with the answer quoted, or back to OPEN with what actually happened. No row keeps a closed status with an owed note after this.",tasks/FIX_TRACKER.csv,"All seven asked live 2026-09-10, cache flushed per ask. VERIFIED_LIVE 4: BUG-157 (lane=control), BUG-257 (unit 'Pa' reaches the answer), BUG-445 (gate fires on sensor_data and fails safe), BUG-474 (report returns data; row cap disclosed). REFUTED, back to OPEN 3: BUG-183 ('yesterday' still turns a valid question into a clarification), BUG-487 (AnomalyEvent never named absent), TODO-490 (alarms question CREATES an alert; access question returns 196 unfiltered bookings). No row now keeps a closed status with an owed note. Three new defects found in the answers: BUG-504, BUG-505, BUG-506.","Covers cleared 2026-09-10: this row RE-ASKED, it did not repair. The four it confirmed are closed; the three it refuted moved to the rows that will fix them (BUG-183 -> V12-08, BUG-487 -> V12-05, TODO-490 -> V12-21). What this row did is in `evidence`."
V12-26,3,yes,done,2026-09-09,2026-09-10,no,1d,"Write the supported scope down, and shrink it until the guarantees hold",REV-T01,"Review T01, and the obligation that makes Gate A bite: zero known unresolved misrepresentation IN THE DEMONSTRATION SCOPE. Advertising 37 intents as equally reliable because each one routes is the failure the review names explicitly.","A published capability matrix, revision snapshot, the 35-call-site LLM inventory and the intent manifest, each stating what is and is not claimed. Anything the honesty guarantees do not cover is named OUT of scope rather than quietly included.",docs/V12_SUPPORTED_SCOPE.md; docs/V11_PHASE0_INVENTORY.md,"docs/V12_SUPPORTED_SCOPE.md: revision snapshot, a capability matrix with four status levels (supported / supported-with-a-stated-limitation / implemented-not-evaluated / out-of-scope), the 35-call-site LLM inventory, the 37-intent manifest, and a named out-of-scope list. The number worth keeping: the probe asserts a LANE for 7 of 37 intents, so 'all 37 route' is not evidence that all 37 answer well. The document caught its own error while being written - it stated actuation was out of scope and declined by design, taken from CLAUDE.md's routing note and a probe case's annotation, and asking the system refuted it (BUG-503).",
V12-03,4,yes,partial,2026-09-10,,partial,2.5d,"Publication enforcement - a failed verification must withhold, not annotate",V11-2 REV-T03 REV-B04 REV-B05,"R1, the largest release-gate gap the review names. `grounded` is read once, at _orchestrator.py:5059, and decides only which memory bucket the turn is filed in. A boolean annotation is not a publication policy.","B04: a forced numerical verification failure withholds the affected claim in text, in the chart AND in the export. B05: numbers unchanged but the rendered day, unit or room altered is blocked by semantic verification. Inspect the actual final artifacts, not the verifier flag. Honest-decline paths untouched. Start narrow: analytics, report, compare, trend.",orchestrator/workflow/_orchestrator.py; orchestrator/services/evidence/; orchestrator/agents/report_agent.py,"DELIVERED 2026-09-10: orchestrator/services/publication_gate.py, called in _response_node AFTER the rewriting guards and BEFORE the message is appended; withholds text, chart (visualization_path) and export. 20 unit tests, negative cases deliberately outnumbering positive ones - honest declines, ungated lanes and identifiers-that-are-not-measurements must all pass through untouched. Two of them assert the gate is actually CALLED and correctly ordered (the V6-T10 step). export_result and publication_decision added to the per-turn stale-clear list, caught by the existing BUG-392 guard. FOUND UNDERNEATH IT, both P1: BUG-508, the verifier counted SQL rows one level too shallow and had NEVER seen a real result (fixed - analytics went sql_rows=0 -> 6960 live), and it reported 'not my lane' as 'unsupported' for 20+ intents (fixed via an `applicable` field). BUG-509, the planner writes every result into a local context never merged onto the bus, so a planner-routed turn is invisible to everything downstream (NOT fixed - belongs to V12-14). LIVE: a good report and a good analytics answer both publish; a hand-built failure withholds text, chart and export in the running process. WHY PARTIAL, stated rather than implied: (1) R1 is NOT closed for the report lane - the lane BUG-475 happened in - because BUG-509 makes it unassessable; (2) case B05, numbers right but rendered day/unit/room wrong, needs V12-08's normalised request; (3) no naturally-failing live turn has been demonstrated end-to-end, only a hand-built one.",
V12-04,5,yes,todo,,,partial,3d,Simulation governance - simulated evidence must not win an operational ranking,V11-3 REV-T06 REV-B06,"R4, and WORSE than the review assumed. 3,004 points declare simulated, ZERO declare measured, 1,342 are silent - and silence reads as measured to any default-permissive consumer. Provenance is resolved per STORE by synthetic_lookup(stored_at), a function of a table name. scorer.py contains no reference to provenance, admissibility or eligibility; it filters on Hardness only, and the flag is merely displayed in the dossier table under the answer.","Three parts in order: (1) assert measured origin where true so silence stops defaulting; (2) provenance travels with the observation, not the table; (3) simulation-origin evidence is excluded BEFORE ranking in operational mode and the exclusion is STATED. B06 passes with the simulated candidate's values transformed, and measured coverage is not inflated by simulated points. bldg1's wide sensor_data keeps its by-design mixed origin - labelled, never purged, never relabelled.",ontology/ontosage_schema.ttl; orchestrator/services/deliberation/scorer.py; orchestrator/services/deliberation/dossier.py; orchestrator/services/adapters/,,
V12-05,6,yes,todo,,,partial,2d,Typed retrieval outcomes - the kinds of nothing stop collapsing,V11-4 REV-T04 REV-A03 REV-A04 REV-A05 REV-A06 BUG-499 BUG-487,"R3. An empty window, a missing reference, an unregistered store and a forbidden read are four different facts and today they narrate the same. BUG-475 and BUG-487 were point repairs on two lanes; the distinction is systemic.","Seven internal states with authorised external wording each. A03: a removed store reference gives REFERENCE_MISSING, never physical absence. A04: an unregistered store gives a specific resolution failure with no substitute backend. A05/A06 keep the review's own qualification (C08): where the adapter has no series catalogue the honest state is UNKNOWN, not a guess in either direction. Each state is seeded deliberately, and neither the exception wrapper nor the response collector converts one into ordinary success.",orchestrator/services/retrieval_outcome.py; orchestrator/agents/sql_agent.py; orchestrator/agents/report_agent.py,,
V12-06,7,yes,todo,,,partial,1d,A request whose second half went unserved must say so,V11-4b REV-T07 REV-B14,"Verified in the code, not assumed: _promote_to_capability_from_documents returns immediately unless the intent is weak, so 'which rooms were stuffy yesterday, and what does the manual say to do?' returns the observations and the procedure half is never attempted and never mentioned.","B14: both subclaims have their own sources, or the unsupported part is stated. A small bounded rule, explicitly NOT an autonomous planner - the review is specific about that.",orchestrator/agents/dialogue_agent.py; orchestrator/workflow/_orchestrator.py,,
V12-07,8,yes,done,2026-09-10,2026-09-10,no,0.5d,The response-collection contract becomes a test (no repair),V11-5 REV-B02,"R7 is already CLOSED - all 37 intents audited, zero uncollected. What is missing is the guard that fails when intent 38 arrives with no collector. Building the repair would be treating a historical defect as still open, which the review names as its own failure mode.","B02: a test enumerates every intent in intent_definitions.yaml, resolves its bus key and asserts the key is read on the response path. Deleting one collector branch fails the test. No generic success-without-answer state survives.",tests/test_every_lane_is_collected.py; orchestrator/workflow/_orchestrator.py,"tests/test_every_lane_is_collected.py, 5 tests. NO REPAIR, per the row's own reasoning - R7 was audited closed on 2026-09-09 with zero uncollected lanes, and building a repair would be treating a historical defect as still open, which the review names as its own failure mode. The guard DERIVES the mapping rather than keeping one: for each of the 37 intents in intent_definitions.yaml it finds the declared node_method, parses that method with ast for the intermediate_results keys it writes, and asserts at least one is read on the response path - covering both access styles, the direct .get(""x"") and the typed ctx.<attr> snapshot, since missing either would produce a false failure. 25 intents have a node_method; the other 12 are the data group and flow through the shared pipeline. 76 keys are read on the response path. It can fail: test_deleting_a_collector_branch_would_fail_this_test removes register_result from the read-set and asserts the lane then looks uncollected - a guard that cannot detect its own defect is the literal scanner reporting clean over two directories with fifteen literals outside its scope. FOUND WHILE WRITING IT: the report-intake family's answer travels on dialogue_response, and report_intake_result is METADATA read by evidence/assemble.py so a filed report is citeable (TODO-229). My first assertion demanded report_intake_result be collected on the response path; the natural fix for that failing test would have been to publish a metadata dict where prose belongs. The distinction is now written into the test.",
V12-08,9,yes,todo,,,partial,1d,Resolve the requested interval once; forbid every downstream re-derivation,V11-8 REV-T05 REV-A07 REV-A08 BUG-183,"R2 residual, review T05. BUG-478 headed a report 'Yesterday' and described today because the formatter re-derived the window the retriever had already resolved. That fix was a point repair on one lane. We take the review's invariant (resolve once, never reinterpret) and NOT its full request envelope, which would be the parallel framework it warns against.","The resolved interval is carried on the state and a test proves no formatter re-derives it. A07 passes with the clock frozen and yesterday/today seeded to different values, with the expectation computed independently of the production query builder. A08 passes across midnight and a DST transition using the configured zone, not a hardcoded 24-hour subtraction.",orchestrator/agents/dialogue_agent.py; orchestrator/agents/report_agent.py; shared/models.py,,
V12-09,10,yes,todo,,,partial,1.5d,"Count, aggregation and data-quality contracts",REV-A09 REV-A10 REV-A12 CAVEAT-006 BUG-497 BUG-506 CAVEAT-513,"A cap on an exhaustive query does not fail - it under-reports (BUG-479). CAVEAT-006's residual is the same disease: the sensor census lists a class beside its own subclasses ('Air Quality Sensor 523, CO2 Sensor 214, CO2 Level Sensor 208') as if they were disjoint.","A09: the known total comes from the fixture's contents, never from asking the limited path to grade itself; a truncated result says so and an unknown total is not invented. A10: max, min and average each use their intended operation, asserted against an independently computed expectation. A12: duplicate, invalid and out-of-order rows produce recorded accepted/excluded counts. A nested census states that its categories overlap.",orchestrator/agents/sql_agent.py; orchestrator/agents/analytics_agent.py; orchestrator/services/database_adapter.py,,V12-10 delivered orchestrator/services/units.py with an aggregation_decision() that refuses incompatible unit sets; this row is where it gets CALLED by the analytics lane. CAVEAT-513 lists the real classes it must refuse.
